Bloque,Subtema,Nombre normalizado,URL,Fuente,Utilidad didáctica,Estado,Método de incorporación,DOCX puente,Tipo de duda,Modo pedagógico,Ejemplo de pregunta
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — GTG — construcción consecutiva,https://www.rae.es/gtg/construcci%C3%B3n-consecutiva,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar construcción consecutiva.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de construcción consecutiva en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — coordinación,https://www.rae.es/gtg/coordinaci%C3%B3n,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar coordinación.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de coordinación en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — elipsis,https://www.rae.es/gtg/elipsis,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar elipsis.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de elipsis en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — GTG — gentilicio,https://www.rae.es/gtg/gentilicio,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar gentilicio.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de gentilicio en mi frase?
gramática,morfología y clases de palabras,Gramática — GTG — interjección,https://www.rae.es/gtg/interjecci%C3%B3n,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar interjección.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de interjección en mi frase?
gramática,morfología y clases de palabras,Gramática — GTG — morfema,https://www.rae.es/gtg/morfema,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar morfema.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de morfema en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — GTG — nombre propio,https://www.rae.es/gtg/nombre-propio,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar nombre propio.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de nombre propio en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — GTG — numeral,https://www.rae.es/gtg/numeral,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar numeral.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de numeral en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración coordinada copulativa,https://www.rae.es/gtg/oraci%C3%B3n-coordinada-copulativa,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración coordinada copulativa.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración coordinada copulativa en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración coordinada disyuntiva,https://www.rae.es/gtg/oraci%C3%B3n-coordinada-disyuntiva,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración coordinada disyuntiva.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración coordinada disyuntiva en mi frase?
puntuación,signos y delimitación,Puntuación — GTG — oración de modalidad exclamativa,https://www.rae.es/gtg/oraci%C3%B3n-de-modalidad-exclamativa,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración de modalidad exclamativa.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración de modalidad exclamativa en mi frase?
puntuación,signos y delimitación,Puntuación — GTG — oración de modalidad interrogativa,https://www.rae.es/gtg/oraci%C3%B3n-de-modalidad-interrogativa,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración de modalidad interrogativa.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración de modalidad interrogativa en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración subordinada,https://www.rae.es/gtg/oraci%C3%B3n-subordinada,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración subordinada en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración subordinada adverbial causal,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-causal,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada adverbial causal.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración subordinada adverbial causal en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración subordinada adverbial condicional,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-condicional,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada adverbial condicional.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración subordinada adverbial condicional en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración subordinada adverbial final,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-final,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada adverbial final.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración subordinada adverbial final en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración subordinada adverbial ilativa,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-ilativa,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada adverbial ilativa.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración subordinada adverbial ilativa en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración subordinada de relativo,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-de-relativo,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada de relativo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración subordinada de relativo en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — oración subordinada sustantiva,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-sustantiva,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada sustantiva.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de oración subordinada sustantiva en mi frase?
ortografía,acentuación y grafías,Ortografía — GTG — prefijo,https://www.rae.es/gtg/prefijo,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar prefijo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de prefijo en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — sujeto,https://www.rae.es/gtg/sujeto,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar sujeto.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de sujeto en mi frase?
puntuación,signos y delimitación,Puntuación — GTG — vocativo,https://www.rae.es/gtg/vocativo,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar vocativo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de vocativo en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — GTG — yuxtaposición,https://www.rae.es/gtg/yuxtaposici%C3%B3n,GTG,"Criterio y ejemplos para diagnosticar, explicar y practicar yuxtaposición.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de yuxtaposición en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — Ortografía — La representación gráfica de los fonemas,https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-de-los-fonemas-el-uso-de-las-letras-o-grafemas,Ortografía,"Criterio y ejemplos para diagnosticar, explicar y practicar La representación gráfica de los fonemas.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de La representación gráfica de los fonemas en mi frase?
ortografía,acentuación y grafías,Ortografía — Ortografía — La representación gráfica del acento,https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-del-acento-el-uso-de-la-tilde,Ortografía,"Criterio y ejemplos para diagnosticar, explicar y practicar La representación gráfica del acento.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de La representación gráfica del acento en mi frase?
puntuación,signos y delimitación,Puntuación — Ortografía — El uso de los signos ortográficos,https://www.rae.es/ortografía/el-uso-de-los-signos-ortogr%C3%A1ficos,Ortografía,"Criterio y ejemplos para diagnosticar, explicar y practicar El uso de los signos ortográficos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de El uso de los signos ortográficos en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — Ortografía — Minúsculas y mayúsculas,https://www.rae.es/ortografía/el-uso-de-las-letras-min%C3%BAsculas-y-may%C3%BAsculas,Ortografía,"Criterio y ejemplos para diagnosticar, explicar y practicar Minúsculas y mayúsculas.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de Minúsculas y mayúsculas en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — Ortografía — Representación de las unidades léxicas,https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-de-las-unidades-l%C3%A9xicas,Ortografía,"Criterio y ejemplos para diagnosticar, explicar y practicar Representación de las unidades léxicas.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Representación de las unidades léxicas en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — Ortografía — Extranjerismos y latinismos,https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-las-expresiones-procedentes-de-otras-lenguas,Ortografía,"Criterio y ejemplos para diagnosticar, explicar y practicar Extranjerismos y latinismos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Extranjerismos y latinismos en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — Ortografía — Ortografía de nombres propios,https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-los-nombres-propios,Ortografía,"Criterio y ejemplos para diagnosticar, explicar y practicar Ortografía de nombres propios.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Ortografía de nombres propios en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — Ortografía — Expresiones numéricas,https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-las-expresiones-num%C3%A9ricas,Ortografía,"Criterio y ejemplos para diagnosticar, explicar y practicar Expresiones numéricas.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Expresiones numéricas en mi frase?
léxico/semántica,precisión léxica y préstamos,"Léxico y semántica — FundéuRAE — fan zone, alternativas en español",https://www.fundeu.es/recomendacion/zona-hinchas-fans-aficionados-barra-hichada/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar fan zone, alternativas en español.",añadida por URL directa,URL,,léxica,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de fan zone, alternativas en español en mi frase?"
léxico/semántica,precisión léxica y préstamos,"Léxico y semántica — FundéuRAE — en caso de que, no en caso que",https://www.fundeu.es/recomendacion/en-caso-de-que-no-en-caso-que/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar en caso de que, no en caso que.",añadida por URL directa,URL,,léxica,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de en caso de que, no en caso que en mi frase?"
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — descanso o entretiempo,https://www.fundeu.es/recomendacion/descanso-entretiempo-mejor-que-media-parte/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar descanso o entretiempo.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de descanso o entretiempo en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — masa de aire cálido,https://www.fundeu.es/recomendacion/masa-de-aire-calido-masa-de-calor/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar masa de aire cálido.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de masa de aire cálido en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — trillionaire es billonario,https://www.fundeu.es/recomendacion/trillionaire-billonario-trillonario/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar trillionaire es billonario.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de trillionaire es billonario en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — Ghana y Gana,https://www.fundeu.es/recomendacion/ghanes-ghana-gana-ganes/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar Ghana y Gana.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Ghana y Gana en mi frase?
léxico/semántica,precisión léxica y préstamos,"Léxico y semántica — FundéuRAE — Uzbekistán, grafías",https://www.fundeu.es/recomendacion/uzbekistan-andiyan/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar Uzbekistán, grafías.",añadida por URL directa,URL,,léxica,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de Uzbekistán, grafías en mi frase?"
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — pausa de hidratación,https://www.fundeu.es/recomendacion/pausa-de-hidratacion-mejor-que-cooling-break/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar pausa de hidratación.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de pausa de hidratación en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — memorando y memorándum,https://www.fundeu.es/recomendacion/memorando-y-memorandum-formas-validas/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar memorando y memorándum.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de memorando y memorándum en mi frase?
estilo,adecuación y redacción,"Estilo — FundéuRAE — donación de sangre, claves",https://www.fundeu.es/recomendacion/donacion-de-sangre-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar donación de sangre, claves.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de donación de sangre, claves en mi frase?"
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — Bosnia y Herzegovina,https://www.fundeu.es/recomendacion/bosnio-bosnia-herzegovina/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar Bosnia y Herzegovina.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Bosnia y Herzegovina en mi frase?
estilo,adecuación y redacción,"Estilo — FundéuRAE — Gaudí, claves de redacción",https://www.fundeu.es/recomendacion/centenario-de-la-muerte-de-antoni-gaudi-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar Gaudí, claves de redacción.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de Gaudí, claves de redacción en mi frase?"
estilo,adecuación y redacción,"Estilo — FundéuRAE — sedes del mundial, claves",https://www.fundeu.es/recomendacion/sedes-del-mundial-de-futbol-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar sedes del mundial, claves.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de sedes del mundial, claves en mi frase?"
estilo,adecuación y redacción,"Estilo — FundéuRAE — mundial de fútbol, claves",https://www.fundeu.es/recomendacion/mundial-de-futbol-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar mundial de fútbol, claves.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de mundial de fútbol, claves en mi frase?"
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — superviviente a largo plazo,https://www.fundeu.es/recomendacion/superviviente-a-largo-plazo-mejor-que-largo-superviviente/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar superviviente a largo plazo.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de superviviente a largo plazo en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — FundéuRAE — decoración dopaminérgica,https://www.fundeu.es/recomendacion/decoracion-dopanigergica-mejor-que-dopamine-decor/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar decoración dopaminérgica.",añadida por URL directa,URL,,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de decoración dopaminérgica en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — una vez y una vez que,https://www.fundeu.es/recomendacion/una-vez-una-vez-que/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar una vez y una vez que.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de una vez y una vez que en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — FundéuRAE — leyes no oficiales en minúscula,https://www.fundeu.es/recomendacion/leyes-grafia-de-los-nombres-no-oficiales/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar leyes no oficiales en minúscula.",añadida por URL directa,URL,,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de leyes no oficiales en minúscula en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — FundéuRAE — selectividad en minúscula,https://www.fundeu.es/recomendacion/selectividad-con-minuscula/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar selectividad en minúscula.",añadida por URL directa,URL,,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de selectividad en minúscula en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — tabaquismo y consumo de tabaco,https://www.fundeu.es/recomendacion/tabaquismo-no-es-consumo-de-tabaco/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar tabaquismo y consumo de tabaco.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de tabaquismo y consumo de tabaco en mi frase?
estilo,adecuación y redacción,"Estilo — FundéuRAE — ébola, claves de redacción",https://www.fundeu.es/recomendacion/ebola-claves-para-una-buena-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar ébola, claves de redacción.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de ébola, claves de redacción en mi frase?"
léxico/semántica,precisión léxica y préstamos,"Léxico y semántica — FundéuRAE — urgir de, usos",https://www.fundeu.es/recomendacion/urgir-de-usos-propios-e-impropios/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar urgir de, usos.",añadida por URL directa,URL,,léxica,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de urgir de, usos en mi frase?"
gramática,morfología y clases de palabras,Gramática — FundéuRAE — género en topónimos,https://www.fundeu.es/recomendacion/genero-en-continentes-ciudades-y-paises/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar género en topónimos.",añadida por URL directa,URL,,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de género en topónimos en mi frase?
estilo,adecuación y redacción,"Estilo — FundéuRAE — papa León XIV, claves",https://www.fundeu.es/recomendacion/visita-del-papa-leon-xiv-a-espana-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar papa León XIV, claves.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de papa León XIV, claves en mi frase?"
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — todas manchadas y todo manchadas,https://www.fundeu.es/recomendacion/todas-manchadas-todo-manchadas-ambas-validas/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar todas manchadas y todo manchadas.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de todas manchadas y todo manchadas en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — batería externa,https://www.fundeu.es/recomendacion/power-bank/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar batería externa.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de batería externa en mi frase?
ortografía,acentuación y grafías,Ortografía — FundéuRAE — avatar sin tilde,https://www.fundeu.es/recomendacion/avatar-tilde/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar avatar sin tilde.",añadida por URL directa,URL,,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de avatar sin tilde en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — advertir y advertir de,https://www.fundeu.es/recomendacion/advertir-de-preposicion-significado/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar advertir y advertir de.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de advertir y advertir de en mi frase?
estilo,adecuación y redacción,Estilo — FundéuRAE — Día Internacional de los Museos,https://www.fundeu.es/recomendacion/dia-internacional-de-los-museos-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar Día Internacional de los Museos.",añadida por URL directa,URL,,estilística,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Día Internacional de los Museos en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — tomar un break,https://www.fundeu.es/recomendacion/tomar-un-break-anglicismo-innecesario/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar tomar un break.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de tomar un break en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — Pekín y Beijing,https://www.fundeu.es/recomendacion/pekin-mejor-que-beijing/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar Pekín y Beijing.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Pekín y Beijing en mi frase?
léxico/semántica,precisión léxica y préstamos,"Léxico y semántica — FundéuRAE — mercaurante, redonda",https://www.fundeu.es/recomendacion/mercaurante-no-necesita-comillas-ni-cursiva/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar mercaurante, redonda.",añadida por URL directa,URL,,léxica,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de mercaurante, redonda en mi frase?"
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — condicionante y condición,https://www.fundeu.es/recomendacion/condicionante-no-es-lo-mismo-que-condicion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar condicionante y condición.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de condicionante y condición en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — en concreto o concreta,https://www.fundeu.es/recomendacion/en-concreto-o-concreta-no-en-concreta/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar en concreto o concreta.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de en concreto o concreta en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — ex cathedra y ex cátedra,https://www.fundeu.es/recomendacion/ex-catedraex-cathedra/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar ex cathedra y ex cátedra.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de ex cathedra y ex cátedra en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — ingreso mínimo vital,https://www.fundeu.es/recomendacion/ingreso-minimo-vital-con-minusculas/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar ingreso mínimo vital.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de ingreso mínimo vital en mi frase?
léxico/semántica,precisión léxica y préstamos,"Léxico y semántica — FundéuRAE — sospechar que, no de que",https://www.fundeu.es/recomendacion/sospechar-algo-no-de-algo-indica-que-se-imagina-eso/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar sospechar que, no de que.",añadida por URL directa,URL,,léxica,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de sospechar que, no de que en mi frase?"
estilo,adecuación y redacción,"Estilo — FundéuRAE — hantavirus, claves",https://www.fundeu.es/recomendacion/brote-de-hantavirus-en-un-crucero-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar hantavirus, claves.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de hantavirus, claves en mi frase?"
léxico/semántica,precisión léxica y préstamos,"Léxico y semántica — FundéuRAE — dress code, alternativas",https://www.fundeu.es/recomendacion/dress-code-alternativas-en-espanol/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar dress code, alternativas.",añadida por URL directa,URL,,léxica,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de dress code, alternativas en mi frase?"
