Categoría,Subcategoría,Concepto o duda,Variante de búsqueda usada,Fuente,URL exacta,Nombre normalizado de la fuente en NotebookLM,Estado,Método de incorporación,Ruta del DOCX puente si procede,Error de importación si procede,Breve descripción de utilidad didáctica,Prioridad,Ejemplo de pregunta del alumno,Modo pedagógico recomendado,Tipo de duda,Fecha de consulta,Referencia bibliográfica APA
gramática,morfología y clases de palabras,ordinales,site:rae.es ordinales,DPD,https://www.rae.es/dpd/ordinales,Gramática — DPD — ordinales,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar ordinales.",alta,¿Cómo se aplica correctamente el criterio de ordinales en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/ordinales"
puntuación,signos y delimitación,paréntesis,site:rae.es paréntesis,DPD,https://www.rae.es/dpd/par%C3%A9ntesis,Puntuación — DPD — paréntesis,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar paréntesis.",alta,¿Cómo se aplica correctamente el criterio de paréntesis en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/par%C3%A9ntesis"
léxico/semántica,precisión léxica y préstamos,párrafo,site:rae.es párrafo,DPD,https://www.rae.es/dpd/p%C3%A1rrafo,Léxico y semántica — DPD — párrafo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar párrafo.",media,¿Cómo se aplica correctamente el criterio de párrafo en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/p%C3%A1rrafo"
gramática,morfología y clases de palabras,plural,site:rae.es plural,DPD,https://www.rae.es/dpd/plural,Gramática — DPD — plural,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar plural.",alta,¿Cómo se aplica correctamente el criterio de plural en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/plural"
léxico/semántica,precisión léxica y préstamos,porcentajes,site:rae.es porcentajes,DPD,https://www.rae.es/dpd/porcentajes,Léxico y semántica — DPD — porcentajes,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar porcentajes.",media,¿Cómo se aplica correctamente el criterio de porcentajes en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/porcentajes"
ortografía,acentuación y grafías,prefijos,site:rae.es prefijos,DPD,https://www.rae.es/dpd/prefijos,Ortografía — DPD — prefijos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar prefijos.",alta,¿Cómo se aplica correctamente el criterio de prefijos en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/prefijos"
léxico/semántica,precisión léxica y préstamos,premios,site:rae.es premios,DPD,https://www.rae.es/dpd/premios,Léxico y semántica — DPD — premios,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar premios.",media,¿Cómo se aplica correctamente el criterio de premios en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/premios"
sintaxis,construcción y relaciones sintácticas,pronombres personales,site:rae.es pronombres personales,DPD,https://www.rae.es/dpd/pronombres%20personales,Sintaxis — DPD — pronombres personales,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar pronombres personales.",alta,¿Cómo se aplica correctamente el criterio de pronombres personales en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/pronombres%20personales"
sintaxis,construcción y relaciones sintácticas,pronombres personales átonos,site:rae.es pronombres personales átonos,DPD,https://www.rae.es/dpd/pronombres%20personales%20%C3%A1tonos,Sintaxis — DPD — pronombres personales átonos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar pronombres personales átonos.",alta,¿Cómo se aplica correctamente el criterio de pronombres personales átonos en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/pronombres%20personales%20%C3%A1tonos"
sintaxis,construcción y relaciones sintácticas,pronombres personales tónicos,site:rae.es pronombres personales tónicos,DPD,https://www.rae.es/dpd/pronombres%20personales%20t%C3%B3nicos,Sintaxis — DPD — pronombres personales tónicos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar pronombres personales tónicos.",alta,¿Cómo se aplica correctamente el criterio de pronombres personales tónicos en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/pronombres%20personales%20t%C3%B3nicos"
puntuación,signos y delimitación,punto,site:rae.es punto,DPD,https://www.rae.es/dpd/punto,Puntuación — DPD — punto,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar punto.",alta,¿Cómo se aplica correctamente el criterio de punto en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/punto"
puntuación,signos y delimitación,puntos suspensivos,site:rae.es puntos suspensivos,DPD,https://www.rae.es/dpd/puntos%20suspensivos,Puntuación — DPD — puntos suspensivos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar puntos suspensivos.",alta,¿Cómo se aplica correctamente el criterio de puntos suspensivos en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/puntos%20suspensivos"
puntuación,signos y delimitación,punto y coma,site:rae.es punto y coma,DPD,https://www.rae.es/dpd/punto%20y%20coma,Puntuación — DPD — punto y coma,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar punto y coma.",alta,¿Cómo se aplica correctamente el criterio de punto y coma en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/punto%20y%20coma"
sintaxis,construcción y relaciones sintácticas,queísmo,site:rae.es queísmo,DPD,https://www.rae.es/dpd/que%C3%ADsmo,Sintaxis — DPD — queísmo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar queísmo.",alta,¿Cómo se aplica correctamente el criterio de queísmo en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/que%C3%ADsmo"
puntuación,signos y delimitación,raya,site:rae.es raya,DPD,https://www.rae.es/dpd/raya,Puntuación — DPD — raya,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar raya.",alta,¿Cómo se aplica correctamente el criterio de raya en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/raya"
léxico/semántica,precisión léxica y préstamos,seseo,site:rae.es seseo,DPD,https://www.rae.es/dpd/seseo,Léxico y semántica — DPD — seseo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar seseo.",media,¿Cómo se aplica correctamente el criterio de seseo en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/seseo"
ortotipografía,convenciones gráficas,sigla,site:rae.es sigla,DPD,https://www.rae.es/dpd/sigla,Ortotipografía — DPD — sigla,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar sigla.",media,¿Cómo se aplica correctamente el criterio de sigla en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/sigla"
ortotipografía,convenciones gráficas,siglos,site:rae.es siglos,DPD,https://www.rae.es/dpd/siglos,Ortotipografía — DPD — siglos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar siglos.",media,¿Cómo se aplica correctamente el criterio de siglos en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/siglos"
puntuación,signos y delimitación,signos de interrogación y exclamación,site:rae.es signos de interrogación y exclamación,DPD,https://www.rae.es/dpd/signos%20de%20interrogaci%C3%B3n%20y%20exclamaci%C3%B3n,Puntuación — DPD — signos de interrogación y exclamación,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar signos de interrogación y exclamación.",alta,¿Cómo se aplica correctamente el criterio de signos de interrogación y exclamación en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/signos%20de%20interrogaci%C3%B3n%20y%20exclamaci%C3%B3n"
puntuación,signos y delimitación,signos ortográficos,site:rae.es signos ortográficos,DPD,https://www.rae.es/dpd/signos%20ortogr%C3%A1ficos,Puntuación — DPD — signos ortográficos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar signos ortográficos.",alta,¿Cómo se aplica correctamente el criterio de signos ortográficos en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/signos%20ortogr%C3%A1ficos"
ortotipografía,convenciones gráficas,símbolo,site:rae.es símbolo,DPD,https://www.rae.es/dpd/s%C3%ADmbolo,Ortotipografía — DPD — símbolo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar símbolo.",media,¿Cómo se aplica correctamente el criterio de símbolo en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/s%C3%ADmbolo"
ortografía,acentuación y grafías,tilde,site:rae.es tilde,DPD,https://www.rae.es/dpd/tilde,Ortografía — DPD — tilde,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar tilde.",alta,¿Cómo se aplica correctamente el criterio de tilde en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/tilde"
ortografía,acentuación y grafías,triptongo,site:rae.es triptongo,DPD,https://www.rae.es/dpd/triptongo,Ortografía — DPD — triptongo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar triptongo.",alta,¿Cómo se aplica correctamente el criterio de triptongo en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/triptongo"
gramática,morfología y clases de palabras,voseo,site:rae.es voseo,DPD,https://www.rae.es/dpd/voseo,Gramática — DPD — voseo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar voseo.",alta,¿Cómo se aplica correctamente el criterio de voseo en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/voseo"
léxico/semántica,precisión léxica y préstamos,yeísmo,site:rae.es yeísmo,DPD,https://www.rae.es/dpd/ye%C3%ADsmo,Léxico y semántica — DPD — yeísmo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar yeísmo.",media,¿Cómo se aplica correctamente el criterio de yeísmo en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/ye%C3%ADsmo"
sintaxis,construcción y relaciones sintácticas,complemento circunstancial,site:rae.es complemento circunstancial,GTG,https://www.rae.es/gtg/complemento-circunstancial,Sintaxis — GTG — complemento circunstancial,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar complemento circunstancial.",alta,¿Cómo se aplica correctamente el criterio de complemento circunstancial en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/complemento-circunstancial"
gramática,morfología y clases de palabras,compuesto,site:rae.es compuesto,GTG,https://www.rae.es/gtg/compuesto,Gramática — GTG — compuesto,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar compuesto.",alta,¿Cómo se aplica correctamente el criterio de compuesto en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/compuesto"
gramática,morfología y clases de palabras,compuesto sintagmático,site:rae.es compuesto sintagmático,GTG,https://www.rae.es/gtg/compuesto-sintagm%C3%A1tico,Gramática — GTG — compuesto sintagmático,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar compuesto sintagmático.",alta,¿Cómo se aplica correctamente el criterio de compuesto sintagmático en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/compuesto-sintagm%C3%A1tico"
sintaxis,construcción y relaciones sintácticas,conjunción adversativa,site:rae.es conjunción adversativa,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-adversativa,Sintaxis — GTG — conjunción adversativa,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción adversativa.",alta,¿Cómo se aplica correctamente el criterio de conjunción adversativa en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-adversativa"
sintaxis,construcción y relaciones sintácticas,conjunción causal,site:rae.es conjunción causal,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-causal,Sintaxis — GTG — conjunción causal,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción causal.",alta,¿Cómo se aplica correctamente el criterio de conjunción causal en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-causal"
sintaxis,construcción y relaciones sintácticas,conjunción completiva,site:rae.es conjunción completiva,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-completiva,Sintaxis — GTG — conjunción completiva,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción completiva.",alta,¿Cómo se aplica correctamente el criterio de conjunción completiva en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-completiva"
sintaxis,construcción y relaciones sintácticas,conjunción concesiva,site:rae.es conjunción concesiva,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-concesiva,Sintaxis — GTG — conjunción concesiva,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción concesiva.",alta,¿Cómo se aplica correctamente el criterio de conjunción concesiva en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-concesiva"
sintaxis,construcción y relaciones sintácticas,conjunción condicional,site:rae.es conjunción condicional,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-condicional,Sintaxis — GTG — conjunción condicional,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción condicional.",alta,¿Cómo se aplica correctamente el criterio de conjunción condicional en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-condicional"
sintaxis,construcción y relaciones sintácticas,conjunción copulativa,site:rae.es conjunción copulativa,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-copulativa,Sintaxis — GTG — conjunción copulativa,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción copulativa.",alta,¿Cómo se aplica correctamente el criterio de conjunción copulativa en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-copulativa"
sintaxis,construcción y relaciones sintácticas,conjunción disyuntiva,site:rae.es conjunción disyuntiva,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-disyuntiva,Sintaxis — GTG — conjunción disyuntiva,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción disyuntiva.",alta,¿Cómo se aplica correctamente el criterio de conjunción disyuntiva en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-disyuntiva"
sintaxis,construcción y relaciones sintácticas,conjunción final,site:rae.es conjunción final,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-final,Sintaxis — GTG — conjunción final,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción final.",alta,¿Cómo se aplica correctamente el criterio de conjunción final en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-final"
sintaxis,construcción y relaciones sintácticas,conjunción ilativa,site:rae.es conjunción ilativa,GTG,https://www.rae.es/gtg/conjunci%C3%B3n-ilativa,Sintaxis — GTG — conjunción ilativa,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar conjunción ilativa.",alta,¿Cómo se aplica correctamente el criterio de conjunción ilativa en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/conjunci%C3%B3n-ilativa"
léxico/semántica,precisión léxica y préstamos,construcción comparativa,site:rae.es construcción comparativa,GTG,https://www.rae.es/gtg/construcci%C3%B3n-comparativa,Léxico y semántica — GTG — construcción comparativa,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar construcción comparativa.",media,¿Cómo se aplica correctamente el criterio de construcción comparativa en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/construcci%C3%B3n-comparativa"
