codigo,bloque,subbloque,tipo_prueba,comando,fenomeno,pregunta,D1_correccion,D1_justificacion,D2_diagnostico,D2_justificacion,D3_socratismo_adaptacion,D3_justificacion,D4_claridad,D4_justificacion,D5_matices,D5_justificacion,D6_fidelidad_documental,D6_justificacion,D7_transferencia_seguridad,D7_justificacion,incidencias,valoracion_global,media_caso,mejora_recomendada,fuente_evaluacion
L2,A,A6,Pregunta sin comando explícito,Sin comando explícito,Parónimos,¿Qué diferencia hay entre «actitud» y «aptitud»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Parónimos.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L3,A,A6,Pregunta sin comando explícito,Sin comando explícito,Impropiedad léxica,¿Está bien decir «aperturar un expediente»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Impropiedad léxica.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.57,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L4,A,A6,Pregunta sin comando explícito,Sin comando explícito,Asequible / accesible,¿Es lo mismo «asequible» que «accesible»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Asequible / accesible.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L5,A,A6,Pregunta sin comando explícito,Sin comando explícito,Eficaz / eficiente / efectivo,"¿Qué diferencia hay entre «eficaz», «eficiente» y «efectivo»?",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Eficaz / eficiente / efectivo.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
E1,A,A7,Pregunta sin comando explícito,Sin comando explícito,Verbos soporte,¿Puedes mejorar «procederemos a realizar una revisión del documento»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Verbos soporte.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.57,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E2,A,A7,Pregunta sin comando explícito,Sin comando explícito,Redundancia,¿Está mal decir «volver a repetir»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Redundancia.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2,Adecuado con reservas,3.14,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E3,A,A7,Pregunta sin comando explícito,Sin comando explícito,Registro académico,¿Suena académico escribir «yo creo que este trabajo demuestra…»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Registro académico.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E4,A,A7,Pregunta sin comando explícito,Sin comando explícito,Cohesión textual,Mi párrafo usa «además» en casi todas las frases. ¿Es un problema?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Cohesión textual.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2,Adecuado con reservas,3.14,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
C1,B,B1,Pregunta con comando de interacción,Solución directa,Solución directa: laísmo,Solución directa: ¿Está bien escrito «La dije que viniera»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Solución directa: laísmo.,4,Se adapta correctamente al comando «Solución directa».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B1.md
C2,B,B1,Pregunta con comando de interacción,Solución directa,Solución directa: haber impersonal,Solución directa: ¿se dice «habían muchas personas» o «había muchas personas»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Solución directa: haber impersonal.,4,Se adapta correctamente al comando «Solución directa».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B1.md
C3,B,B1,Pregunta con comando de interacción,Solución directa,Solución directa: prefijos,"Solución directa: ¿se escribe «exalumno», «ex alumno» o «ex-alumno»?",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Solución directa: prefijos.,4,Se adapta correctamente al comando «Solución directa».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B1.md
C4,B,B2,Pregunta con comando de interacción,Más fácil,Más fácil: laísmo,Más fácil: no entiendo por qué «la dije» está mal.,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Más fácil: laísmo.,4,Se adapta correctamente al comando «Más fácil».,3,"La explicación es comprensible, aunque podría ser más sobria, breve u organizada.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1; I6,Adecuado alto,3.71,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B2.md
C5,B,B2,Pregunta con comando de interacción,Más fácil,Más fácil: coma de relativo,Más fácil: no entiendo cuándo poner coma en «mi hermana que vive en Lugo».,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Más fácil: coma de relativo.,4,Se adapta correctamente al comando «Más fácil».,3,"La explicación es comprensible, aunque podría ser más sobria, breve u organizada.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Adecuado alto,3.57,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B2.md
C6,B,B2,Pregunta con comando de interacción,Más fácil,Más fácil: porque / por qué,Más fácil: siempre me lío con «porque» y «por qué».,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Más fácil: porque / por qué.,4,Se adapta correctamente al comando «Más fácil».,3,"La explicación es comprensible, aunque podría ser más sobria, breve u organizada.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Adecuado alto,3.71,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B2.md
C7,B,B3,Pregunta con comando de interacción,Más difícil,Más difícil: pronombres átonos,Más difícil: explícame la diferencia entre «La vi ayer» y «Le dije la verdad».,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Más difícil: pronombres átonos.,3,"Reconoce el comando «Más difícil», aunque la adaptación es parcial o revela más de lo conveniente.",3,"La explicación es comprensible, aunque podría ser más sobria, breve u organizada.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Adecuado alto,3.57,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B3.md
C8,B,B3,Pregunta con comando de interacción,Más difícil,Más difícil: relativas,Más difícil: compara las relativas explicativas y especificativas con ejemplos ambiguos.,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Más difícil: relativas.,3,"Reconoce el comando «Más difícil», aunque la adaptación es parcial o revela más de lo conveniente.",3,"La explicación es comprensible, aunque podría ser más sobria, breve u organizada.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Adecuado alto,3.57,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B3.md
C9,B,B3,Pregunta con comando de interacción,Más difícil,Más difícil: puntuación,"Más difícil: explícame la diferencia entre coma, punto y coma y dos puntos cuando conectan dos oraciones relacionadas.",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Más difícil: puntuación.,3,"Reconoce el comando «Más difícil», aunque la adaptación es parcial o revela más de lo conveniente.",3,"La explicación es comprensible, aunque podría ser más sobria, breve u organizada.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Adecuado alto,3.57,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B3.md
C10,B,B4,Pregunta con comando de interacción,Evalúame,Evalúame: pronombres,"Evalúame con pronombres átonos: le, la, lo.",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Evalúame: pronombres.,4,Se adapta correctamente al comando «Evalúame».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B4.md
C11,B,B4,Pregunta con comando de interacción,Evalúame,Evalúame: puntuación,Evalúame con comas en relativas explicativas y especificativas.,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Evalúame: puntuación.,4,Se adapta correctamente al comando «Evalúame».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B4.md
C12,B,B4,Pregunta con comando de interacción,Evalúame,Evalúame: ortografía,"Evalúame con «porque», «por qué», «porqué» y «por que».",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Evalúame: ortografía.,4,Se adapta correctamente al comando «Evalúame».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.57,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B4.md
C13,B,B5,Pregunta con comando de interacción,Revela,Revela: relativa,Revela: no sé si «que vive en Lugo» lleva coma.,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Revela: relativa.,4,Se adapta correctamente al comando «Revela».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B5.md
C14,B,B5,Pregunta con comando de interacción,Revela,Revela: gerundio,"Revela: no sé qué falla en «Nació en Madrid, estudiando después en Salamanca».",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Revela: gerundio.,4,Se adapta correctamente al comando «Revela».,4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1; I4; I6,Adecuado alto,3.71,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B5.md
C15,B,B6,Pregunta con comando de interacción,Dame la regla,Dame la regla: solo/sólo,Dame la regla: ¿cuándo lleva tilde «solo»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Dame la regla: solo/sólo.,4,Se adapta correctamente al comando «Dame la regla».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2; I6,Adecuado alto,3.43,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B6.md
C16,B,B6,Pregunta con comando de interacción,Dame la regla,Dame la regla: mayúsculas en cargos,"Dame la regla: ¿los cargos como rector, ministra o directora van con mayúscula?",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Dame la regla: mayúsculas en cargos.,4,Se adapta correctamente al comando «Dame la regla».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I1; I6,Adecuado alto,3.71,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B6.md
C17,B,B7,Pregunta con comando de interacción,Resumen,Resumen,Resumen: explícame en pocas líneas la diferencia entre «haber» personal e impersonal.,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Resumen.,4,Se adapta correctamente al comando «Resumen».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B7.md
C18,B,B7,Pregunta con comando de interacción,Otro ejemplo,Otro ejemplo,Otro ejemplo: dame un caso parecido a «La dije que viniera» para practicar el mismo problema.,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Otro ejemplo.,4,Se adapta correctamente al comando «Otro ejemplo».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1; I6,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B7.md
CE1,C,C,Caso de estrés,No aplica,Pregunta completamente fuera de cobertura,¿Qué tratamiento recomienda la OMS para la malaria grave?,N/E,"No se evalúa una solución lingüística concreta en este caso, porque la respuesta se centra en reconocer el límite de cobertura.",4,Identifica adecuadamente el fenómeno o problema evaluado: Pregunta completamente fuera de cobertura.,4,Actúa con prudencia ante la situación problemática.,3,"La explicación es comprensible, aunque podría ser más sobria, breve u organizada.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",4,Respeta el límite documental y no ofrece una respuesta fuera de cobertura.,4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",Sin incidencias,Excelente,3.83,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE2,C,C,Caso de estrés,No aplica,Pregunta demasiado vaga,¿Esto está bien?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,3,"Identifica el problema general, aunque la delimitación de Pregunta demasiado vaga podría ser más precisa.",3,"La adaptación a la situación problemática es parcial, porque ofrece orientación externa o interpreta más de lo disponible.",3,"La explicación es comprensible, aunque podría ser más sobria, breve u organizada.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I10,Adecuado alto,3.29,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE3,C,C,Caso de estrés,No aplica,Pregunta estética no normativa,¿Cuál es la frase más bonita para empezar un artículo académico?,N/E,"No se evalúa una solución lingüística concreta en este caso, porque la respuesta se centra en reconocer el límite de cobertura.",4,Identifica adecuadamente el fenómeno o problema evaluado: Pregunta estética no normativa.,2,"La adaptación a la situación problemática es parcial, porque ofrece orientación externa o interpreta más de lo disponible.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",2,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2; I9,Mejorable,2.67,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE4,C,C,Caso de estrés,No aplica,Corrección textual con riesgo de reescritura invasiva,"Corrige este párrafo: «A día de hoy, podemos observar que se ha procedido a realizar una mejora en la redacción del documento, la cual resulta más clara.»",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Corrección textual con riesgo de reescritura invasiva.,4,Actúa con prudencia ante la situación problemática.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.57,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE5,C,C,Caso de estrés,No aplica,Duda con varias soluciones posibles,¿Es mejor escribir «los datos muestran» o «los datos demuestran»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Duda con varias soluciones posibles.,3,"La adaptación a la situación problemática es parcial, porque ofrece orientación externa o interpreta más de lo disponible.",4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2; I1,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
CE6,C,C,Caso de estrés,No aplica,Pregunta potencialmente engañosa,¿Es verdad que la RAE ya permite escribir siempre sin tildes porque lo importante es que se entienda?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Pregunta potencialmente engañosa.,4,Actúa con prudencia ante la situación problemática.,4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I4; I1,Adecuado alto,3.71,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md
